,ymeans2/tfidf,ymeans2/sbert,dbscan/tfidf,dbscan/sbert,agg/tfidf,agg/sbert
ymeans2/tfidf,1.0,0.26821650556958104,-0.01600336003851189,-0.01091267046253836,-8.23197702690298e-05,-0.0002429306216829463
ymeans2/sbert,0.26821650556958104,1.0,-0.0002764005344910132,0.0018926524157028954,-4.589302065116809e-06,6.567706064192959e-05
dbscan/tfidf,-0.01600336003851189,-0.0002764005344910132,1.0,0.1231109577997428,0.0014512223069878488,0.002486141218882754
dbscan/sbert,-0.01091267046253836,0.0018926524157028954,0.1231109577997428,1.0,-0.00035732981084508496,0.01544420347955427
agg/tfidf,-8.23197702690298e-05,-4.589302065116809e-06,0.0014512223069878488,-0.00035732981084508496,1.0,-0.00029623626995621836
agg/sbert,-0.0002429306216829463,6.567706064192959e-05,0.002486141218882754,0.01544420347955427,-0.00029623626995621836,1.0
