,ymeans2/tfidf,ymeans2/sbert,dbscan/tfidf,dbscan/sbert,agg/tfidf,agg/sbert
ymeans2/tfidf,1.0,0.5065394383985337,0.04044302866690892,0.020766732527760984,0.0002505944431585301,0.0008763462394521605
ymeans2/sbert,0.5065394383985334,1.0,0.025545977762540376,0.017278412457227842,0.0003649522320228862,0.0014392033131353503
dbscan/tfidf,0.040443028666908916,0.025545977762540376,1.0,0.03824989095763892,0.0013337336848253081,0.0028290731591446914
dbscan/sbert,0.020766732527760984,0.017278412457227842,0.03824989095763892,1.0,9.617316972291454e-05,0.011741689244881908
agg/tfidf,0.0002505944431585301,0.0003649522320228862,0.0013337336848253081,9.617316972291454e-05,1.0,2.781633630734395e-05
agg/sbert,0.0008763462394521605,0.0014392033131353503,0.0028290731591446914,0.011741689244881908,2.781633630734395e-05,1.0
